"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"93","Q80W57",657,7,147,543,82.648401826484,125,85.0340136054422,38,77.5510204081633,87,88.7755102040816,418,81.9607843137255,61,93.8461538461538,357,80.6666666666667
"94","P57752",92,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","P12235",298,NA,NA,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","P29972",269,6,126,224,83.271375464684,126,100,42,100,84,100,98,68.5314685314685,69,88.4615384615385,29,45.3125
"97","P60844",231,5,105,202,87.4458874458874,105,100,35,100,70,100,97,76.984126984127,53,72.6027397260274,44,82.6923076923077
"98","P63040",134,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Q9WUS4",505,4,84,267,52.8712871287129,84,100,28,100,56,100,183,43.4679334916865,80,100,103,30
"100","Q8BQU6",440,4,84,280,63.6363636363636,84,100,28,100,56,100,196,55.0561797752809,80,100,116,41.8181818181818
"101","A2RI02",288,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","C8V329",508,12,252,481,94.6850393700787,252,100,84,100,168,100,229,89.453125,132,98.5074626865672,97,79.3388429752066
"103","P0ABG4",414,9,189,366,88.4057971014493,189,100,63,100,126,100,177,78.6666666666667,93,94.8979591836735,84,66.6666666666667
"104","P0AER0",281,6,126,200,71.1743772241993,125,99.2063492063492,42,100,83,100,75,48.3870967741936,53,60.9195402298851,22,32.8358208955224
"105","Q9VR07",943,12,252,724,76.7762460233298,252,100,84,100,168,100,472,68.3068017366136,165,94.8275862068966,307,59.3023255813954
"106","Q9VAS7",395,4,84,278,70.379746835443,83,98.8095238095238,28,100,55,98.2142857142857,195,62.7009646302251,68,80.952380952381,127,55.7522123893805
"107","P0ADC6",360,6,126,297,82.5,94,74.6031746031746,35,83.3333333333333,59,72.6190476190476,203,86.7521367521367,62,87.3239436619718,141,86.4197530864197
"108","P53083",459,4,36,314,68.4095860566449,30,83.3333333333333,10,83.3333333333333,20,83.3333333333333,284,67.1394799054374,38,79.1666666666667,246,65.6
"109","P31462",391,12,252,267,68.2864450127877,177,70.2380952380952,55,65.4761904761905,122,72.6190476190476,90,64.7482014388489,67,74.4444444444444,23,47.9166666666667
"110","Q8CG09",1532,16,336,1271,82.9634464751958,291,86.6071428571429,94,83.9285714285714,197,88.3928571428571,980,81.9397993311037,180,75.6302521008403,800,83.5587929240375
"111","P0C0S1",286,3,63,228,79.7202797202797,42,66.6666666666667,14,66.6666666666667,28,66.6666666666667,186,83.4080717488789,21,56.7567567567568,165,88.7700534759358
"112","Q9NPG2",151,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Q08485",598,12,252,457,76.4214046822743,247,98.015873015873,82,97.6190476190476,165,98.2142857142857,210,60.6936416184971,139,86.875,71,38.3783783783784
"114","Q03028",310,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Q797E3",388,12,252,371,95.6185567010309,249,98.8095238095238,83,98.8095238095238,166,99.4047619047619,122,89.7058823529412,87,95.6043956043956,35,80.4347826086957
"116","P38361",574,11,231,455,79.2682926829268,212,91.7748917748918,76,98.7012987012987,136,88.961038961039,243,70.8454810495627,115,82.7338129496403,128,63.0541871921182
"117","Q9C6B8",622,10,210,513,82.475884244373,210,100,70,100,140,100,303,73.5436893203884,78,98.7341772151899,225,67.4698795180723
"118","P0AA47",452,12,252,317,70.1327433628319,189,75,70,83.3333333333333,119,71.4285714285714,128,64,92,70.2290076335878,36,52.1739130434783
"119","P41909",870,5,105,407,46.7816091954023,15,14.2857142857143,5,14.2857142857143,10,14.2857142857143,392,51.2418300653595,21,21.6494845360825,371,55.6221889055472
"120","Q15311",655,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Q9H0H5",632,4,601,283,44.7784810126582,288,47.9201331114809,147,72.4137931034483,141,35.3233830845771,-5,-16.1290322580645,13,15.4761904761905,-18,51.9685039370079
"122","Q86VW1",577,12,252,463,80.2426343154246,252,100,84,100,168,100,211,64.9230769230769,105,94.5945945945946,106,49.2957746478873
"123","Q9HAS3",691,11,231,584,84.5151953690304,227,98.2683982683983,77,100,150,97.4025974025974,357,77.6086956521739,135,90.6040268456376,222,71.2903225806452
"124","P23975",617,12,252,539,87.3581847649919,252,100,84,100,168,100,287,78.6301369863014,164,96.4705882352941,123,62.8865979381443
"125","P33335",543,14,294,340,62.6151012891344,225,76.530612244898,83,84.6938775510204,142,72.9591836734694,115,46.1847389558233,79,53.3783783783784,36,36
"126","Q8CI59",488,6,126,434,88.9344262295082,126,100,42,100,84,100,308,85.0828729281768,96,100,212,80
"127","P02929",239,1,21,24,10.0418410041841,2,9.52380952380952,0,0,2,14.2857142857143,22,10.0917431192661,1,25,21,9.85915492957746
"128","Q12256",659,12,252,266,40.3641881638847,141,55.952380952381,51,60.7142857142857,90,54.7619047619048,125,30.7125307125307,56,42.4242424242424,69,25.1824817518248
"129","P0AGM7",429,12,252,376,87.6456876456876,241,95.6349206349206,84,100,157,94.047619047619,135,76.271186440678,78,79.5918367346939,57,74.0740740740741
"130","Q16572",532,10,210,232,43.609022556391,108,51.4285714285714,39,55.7142857142857,69,49.2857142857143,124,38.5093167701863,66,54.0983606557377,58,29.1457286432161
"131","Q01827",515,8,168,229,44.4660194174757,68,40.4761904761905,25,44.6428571428571,43,39.2857142857143,161,46.3976945244957,77,61.6,84,37.8378378378378
"132","P37642",337,6,126,276,81.8991097922849,122,96.8253968253968,39,92.8571428571429,83,98.8095238095238,154,72.9857819905213,76,83.5164835164835,78,64.7058823529412
"133","Q9M3D6",725,6,126,587,80.9655172413793,113,89.6825396825397,38,90.4761904761905,75,89.2857142857143,474,79.1318864774624,70,95.8904109589041,404,76.9523809523809
"134","Q7DM58",1516,17,357,1261,83.179419525066,293,82.0728291316527,100,84.0336134453782,193,81.0924369747899,968,83.5202761000863,177,75.3191489361702,791,85.6681034482759
"135","Q8K448",1642,15,315,1094,66.626065773447,251,79.6825396825397,84,80,167,80,843,63.5267520723436,127,69.3989071038251,716,62.6306620209059
"136","P33897",745,5,105,356,47.7852348993289,1,0.952380952380952,0,0,1,0,355,55.46875,20,22.2222222222222,335,61.0200364298725
"137","Q99PE8",652,6,126,537,82.3619631901841,104,82.5396825396825,30,71.4285714285714,74,86.9047619047619,433,82.319391634981,75,96.1538461538462,358,80.089485458613
"138","P11030",87,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","O97470",309,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","P41181",271,6,126,225,83.0258302583026,126,100,42,100,84,100,99,68.2758620689655,66,92.9577464788732,33,45.2054794520548
"141","Q96247",485,10,210,291,60,159,75.7142857142857,50,71.4285714285714,109,77.1428571428571,132,48,74,57.8125,58,39.041095890411
"142","Q12289",327,NA,NA,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","P23242",382,4,84,266,69.6335078534031,84,100,28,100,56,100,182,61.0738255033557,80,100,102,46.5437788018433
"144","P96205",331,NA,NA,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","A2RI03",266,5,105,251,94.3609022556391,91,86.6666666666667,29,82.8571428571429,62,88.5714285714286,160,99.3788819875776,48,96,112,100
"146","P17064",533,12,252,489,91.7448405253283,252,100,84,100,168,100,237,84.3416370106762,131,94.9275362318841,106,73.943661971831
"147","P38196",639,12,252,522,81.6901408450704,252,100,84,100,168,100,270,69.7674418604651,152,93.8271604938272,118,52.6785714285714
"148","P08194",452,12,252,275,60.8407079646018,174,69.047619047619,63,75,111,67.2619047619048,101,50.5,70,60.8695652173913,31,36.046511627907
"149","O06293",640,2,42,286,44.6875,0,0,0,0,0,0,286,47.8260869565217,9,37.5,277,48
"150","Q41760",527,11,231,424,80.4554079696395,223,96.5367965367965,77,100,146,95.4545454545455,201,67.9054054054054,96,74.4186046511628,105,63.2530120481928
"151","Q6I7B9",374,2,42,374,100,42,100,14,100,28,100,332,100,40,100,292,100
"152","P69367",402,12,252,345,85.8208955223881,230,91.2698412698413,77,91.6666666666667,153,91.0714285714286,115,76.6666666666667,82,82.8282828282828,33,67.9245283018868
"153","O01811",377,1,21,339,89.920424403183,21,100,7,100,14,100,318,89.3258426966292,1,25,317,90.02849002849
"154","O15440",1437,13,273,1206,83.9248434237996,258,94.5054945054945,85,93.4065934065934,173,95.0549450549451,948,81.4432989690722,171,86.8020304568528,777,80.3921568627451
"155","Q9LYG9",734,6,126,451,61.4441416893733,70,55.5555555555556,23,54.7619047619048,47,58.3333333333333,381,62.6644736842105,57,69.5121951219512,324,61.5969581749049
"156","A2RKV5",222,6,126,167,75.2252252252252,110,87.3015873015873,38,90.4761904761905,72,83.3333333333333,57,59.375,33,68.75,24,54.7169811320755
"157","P70582",510,2,20,160,31.3725490196078,0,0,0,0,0,0,160,32.6530612244898,0,0,160,35.7142857142857
"158","Q99297",307,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","P40550",1411,12,252,1133,80.297661233168,226,89.6825396825397,70,83.3333333333333,156,92.2619047619048,907,78.2571182053494,149,91.9753086419753,758,76.1044176706827
"160","Q96303",534,12,252,289,54.1198501872659,165,65.4761904761905,58,69.047619047619,107,63.0952380952381,124,43.9716312056738,83,53.2051282051282,41,32
"161","Q9XF59",289,6,126,230,79.5847750865052,126,100,42,100,84,100,104,63.8036809815951,71,87.6543209876543,33,39.5061728395062
"162","O43808",307,5,105,244,79.4788273615635,101,96.1904761904762,35,100,66,94.2857142857143,143,70.7920792079208,64,76.1904761904762,79,67.5213675213675
"163","P34230",853,7,147,403,47.2450175849941,30,20.4081632653061,8,16.3265306122449,22,20.4081632653061,373,52.8328611898017,27,31.0344827586207,346,55.9485530546624
"164","P43125",1259,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Q08417",382,7,147,355,92.9319371727749,144,97.9591836734694,49,100,95,96.9387755102041,211,89.7872340425532,86,92.4731182795699,125,87.9432624113475
"166","Q96BI1",424,12,252,288,67.9245283018868,202,80.1587301587302,71,84.5238095238095,131,78.5714285714286,86,50,58,57.4257425742574,28,41.6666666666667
"167","Q9JIM1",460,11,231,338,73.4782608695652,215,93.0735930735931,73,94.8051948051948,142,92.2077922077922,123,53.7117903930131,84,71.7948717948718,39,34.2342342342342
"168","P31645",630,12,252,540,85.7142857142857,252,100,84,100,168,100,288,76.1904761904762,169,96.0227272727273,119,58.7064676616915
"169","P33085",372,4,84,276,74.1935483870968,84,100,28,100,56,100,192,66.6666666666667,69,84.1463414634146,123,59.5121951219512
"170","Q02563",742,12,252,378,50.9433962264151,203,80.5555555555556,70,83.3333333333333,133,79.7619047619048,175,35.7142857142857,78,64.4628099173554,97,26.0869565217391
"171","P53257",314,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","P0AFS5",344,10,210,193,56.1046511627907,141,67.1428571428571,47,67.1428571428571,94,66.4285714285714,52,38.8059701492537,48,62.3376623376623,4,20.5882352941176
"173","Q09068",195,6,126,146,74.8717948717949,99,78.5714285714286,31,73.8095238095238,68,80.952380952381,47,68.1159420289855,34,72.3404255319149,13,61.9047619047619
"174","Q9SRH5",276,14,132,270,97.8260869565217,129,97.7272727272727,48,96,81,98.780487804878,141,97.9166666666667,104,98.1132075471698,37,95.8333333333333
"175","P0AGM9",463,12,252,399,86.1771058315335,240,95.2380952380952,84,100,156,93.452380952381,159,75.3554502369668,85,79.4392523364486,74,70.873786407767
"176","P31414",770,16,336,648,84.1558441558442,324,96.4285714285714,112,100,212,96.4285714285714,324,74.6543778801843,172,78.5388127853881,152,71.5596330275229
"177","Q9ZR72",1286,12,252,1113,86.547433903577,252,100,84,100,168,100,861,83.2688588007737,170,90.4255319148936,691,81.7001180637544
"178","Q10185",1478,18,378,1240,83.8971583220568,316,83.5978835978836,106,84.1269841269841,210,84.5238095238095,924,84,196,77.7777777777778,728,85.8657243816254
"179","Q91V24",2159,14,294,1543,71.4682723483094,238,80.952380952381,80,81.6326530612245,158,81.6326530612245,1305,69.9731903485255,120,61.5384615384615,1185,70.9850746268657
"180","P16970",659,6,126,403,61.1532625189681,47,37.3015873015873,17,40.4761904761905,30,36.9047619047619,356,66.7917448405253,33,35.1063829787234,323,73.4090909090909
"181","Q9H221",673,6,126,568,84.3982169390788,120,95.2380952380952,42,100,78,94.047619047619,448,81.9012797074954,72,94.7368421052632,376,80
"182","P31787",87,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Q9XIE6",1213,10,210,801,66.0346248969497,148,70.4761904761905,49,70,99,71.4285714285714,653,65.1046859421735,81,57.0422535211268,572,66.3182346109175
"184","P55087",323,6,126,232,71.8266253869969,126,100,42,100,84,100,106,53.8071065989848,75,89.2857142857143,31,27.6785714285714
"185","P53744",561,12,252,452,80.5704099821747,237,94.047619047619,77,91.6666666666667,160,94.6428571428571,215,69.57928802589,143,88.2716049382716,72,49.6644295302013
"186","Q9N623",424,10,210,345,81.3679245283019,193,91.9047619047619,67,95.7142857142857,126,90.7142857142857,152,71.0280373831776,82,84.5360824742268,70,60.3448275862069
"187","P28234",356,4,84,262,73.5955056179775,84,100,28,100,56,100,178,65.4411764705882,80,100,98,50.7853403141361
"188","P96206",289,6,126,232,80.2768166089965,109,86.5079365079365,36,85.7142857142857,73,88.0952380952381,123,75.4601226993865,72,85.7142857142857,51,64.1025641025641
"189","P24077",416,12,252,394,94.7115384615385,244,96.8253968253968,84,100,160,96.4285714285714,150,91.4634146341463,99,95.1923076923077,51,85.4838709677419
"190","P25621",512,12,252,292,57.03125,175,69.4444444444444,62,73.8095238095238,113,68.452380952381,117,45,76,59.8425196850394,41,31.0606060606061
"191","P31381",517,11,231,279,53.9651837524178,166,71.8614718614719,61,79.2207792207792,105,70.1298701298701,113,39.5104895104895,64,51.6129032258065,49,30.4347826086957
"192","Q9NZD2",209,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","O61715",454,4,84,279,61.4537444933921,84,100,28,100,56,100,195,52.7027027027027,67,79.7619047619048,128,44.5614035087719
