"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"42","P00173",134,1,21,99,73.88059701,10,47.61904762,3,42.8571428571429,7,57.1428571428571,89,78.76106195,2,18.1818181818182,87,86.1386138613861
"43","P26458",378,9,189,378,100,189,100,63,100,126,100,189,100,118,100,71,100
"44","P31480",215,4,84,215,100,84,100,28,100,56,100,131,100,63,100,68,100
"45","P0ABJ9",522,9,189,507,97.12643678,189,100,63,100,126,100,318,95.4954955,128,100,190,92.6470588235294
"46","O05875",380,0,0,265,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"47","P0A3E0",170,0,0,165,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"48","P0AC47",244,0,0,188,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"49","P30519",316,1,21,257,81.32911392,17,80.95238095,6,85.7142857142857,11,78.5714285714286,240,81.3559322,5,45.4545454545455,235,82.8070175438597
"50","P48163",572,4,36,559,97.72727273,36,100,14,100,22,100,523,97.57462687,25,100,498,97.4509803921569
"51","P19878",526,0,0,126,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"52","P0AFC7",220,0,0,220,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"53","P0AFD6",180,0,0,178,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"54","P0AFF0",485,14,294,470,96.90721649,290,98.63945578,98,100,192,98.469387755102,180,94.2408377,118,92.1875,62,98.4375
"55","Q97FZ9",195,0,0,171,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"56","P0AC65",81,0,0,79,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"57","P26459",514,9,189,502,97.66536965,189,100,63,100,126,100,313,96.30769231,125,100,188,93.9698492462312
"58","P19974",111,0,0,109,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"59","P0ABK2",379,9,189,379,100,189,100,63,100,126,100,190,100,116,100,74,100
"60","Q97GB9",125,0,0,94,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
