"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"50","O43933",1283,0,0,788,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"51","Q02629",959,8,60,409,42.64859228,25,41.66666667,8,33.3333333333333,17,38.8888888888889,384,42.71412681,69,46,315,41.9786096256685
"52","Q12028",832,4,34,621,74.63942308,22,64.70588235,8,66.6666666666667,14,63.6363636363636,599,75.06265664,56,87.5,543,74.0791268758527
"53","O00189",453,2,16,364,80.35320088,7,43.75,3,50,4,40,357,81.69336384,21,80.7692307692308,336,81.7073170731707
"54","Q0WP44",1202,0,0,563,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"55","Q08176",113,0,0,66,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"56","Q8WUM0",1156,0,0,624,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"57","Q9ZV24",148,0,0,91,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"58","P35179",80,1,21,65,81.25,21,100,7,100,14,100,44,74.57627119,11,100,33,68.0851063829787
"59","P14906",663,3,63,337,50.82956259,31,49.20634921,12,57.1428571428571,19,47.6190476190476,306,51,8,14.0350877192982,298,54.9815498154982
"60","P0AG96",127,3,63,109,85.82677165,62,98.41269841,21,100,41,100,47,73.4375,24,70.5882352941177,23,75.8620689655172
"61","Q03519",686,9,189,501,73.03206997,103,54.4973545,35,55.5555555555556,68,53.968253968254,398,80.0804829,72,64.2857142857143,326,84.4961240310077
"62","P87108",93,0,0,61,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"63","P42949",149,0,0,101,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"64","P57744",87,0,0,60,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"65","P19934",421,1,21,73,17.33966746,4,19.04761905,0,0,4,28.5714285714286,69,17.25,2,40,67,17.005076142132
"66","P30822",1084,0,0,578,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"67","O94955",611,2,20,274,44.84451718,13,65,5,62.5,8,66.6666666666667,261,44.16243655,17,40.4761904761905,244,44.3430656934307
"68","Q13838",428,2,20,383,89.48598131,19,95,8,100,11,91.6666666666667,364,89.21568627,24,100,340,88.5117493472585
"69","Q54HS9",428,6,52,355,82.94392523,38,73.07692308,12,60,26,81.25,317,84.30851064,74,86.046511627907,243,83.7370242214533
"70","P32839",456,1,21,354,77.63157895,3,14.28571429,1,14.2857142857143,2,7.14285714285714,351,80.68965517,0,0,351,82.74231678487
