"","X","B","C","D","E","X.Seq","F","X.TMS","G","X.interior","GG","X.exterior","FF","X.nonTMS","H","X.close","HH","X.far"
"16","Q76LB1",459,7,147,395,86.05664488,145,98.63945578,49,100,96,97.9591836734694,250,80.12820513,69,97.1830985915493,181,75
"17","P0AB93",429,13,273,395,92.07459207,261,95.6043956,87,95.6043956043956,174,96.1538461538462,134,85.8974359,102,92.7272727272727,32,75
"18","P34158",1476,12,252,1318,89.29539295,241,95.63492063,81,96.4285714285714,160,95.2380952380952,1077,87.99019608,158,86.8131868131868,919,88.2070949185043
"19","Q9SFB0",526,11,231,414,78.70722433,230,99.56709957,77,100,153,100,184,62.37288136,108,81.8181818181818,76,47.5609756097561
"20","P10903",463,12,252,288,62.20302376,170,67.46031746,54,64.2857142857143,116,69.6428571428571,118,55.92417062,73,58.8709677419355,45,51.1627906976744
"21","P25297",587,12,252,304,51.78875639,190,75.3968254,68,80.952380952381,122,74.4047619047619,114,34.02985075,69,50,45,22.4489795918367
"22","P40035",300,5,105,240,80,98,93.33333333,34,97.1428571428571,64,91.4285714285714,142,72.82051282,63,73.2558139534884,79,72.2222222222222
"23","Q9M1E2",558,12,252,449,80.46594982,252,100,84,100,168,100,197,64.37908497,118,78.1456953642384,79,51.2987012987013
"24","P40879",764,12,252,569,74.47643979,250,99.20634921,84,100,166,99.4047619047619,319,62.3046875,107,82.3076923076923,212,55.7291666666667
"25","Q9LD83",556,8,168,243,43.70503597,122,72.61904762,38,67.8571428571429,84,75.8928571428571,121,31.18556701,52,49.0566037735849,69,24.5551601423488
"26","Q6ZQN7",724,12,252,542,74.86187845,250,99.20634921,84,100,166,98.8095238095238,292,61.86440678,160,86.9565217391304,132,45.993031358885
"27","Q9FJX3",276,8,78,269,97.46376812,76,97.43589744,30,100,46,97.9166666666667,193,97.47474747,74,97.3684210526316,119,97.6
"28","P23641",311,0,0,244,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"29","Q3ZMH1",610,13,273,443,72.62295082,239,87.54578755,77,84.6153846153846,162,89.5604395604396,204,60.53412463,118,72.3926380368098,86,49.1329479768786
"30","P32386",1661,17,357,1294,77.90487658,285,79.83193277,88,73.9495798319328,197,83.1932773109244,1009,77.37730061,186,74.6987951807229,823,78.0718336483932
"31","Q8BHY3",960,8,168,711,74.0625,149,88.69047619,49,87.5,100,89.2857142857143,562,70.95959596,146,90.1234567901235,416,65.9777424483307
"32","P48751",1232,13,273,1035,84.00974026,273,100,91,100,182,100,762,79.45776851,157,96.319018404908,605,76.1548064918851
"33","P37019",473,11,231,452,95.5602537,221,95.67099567,74,96.1038961038961,147,95.4545454545455,231,95.45454545,132,92.3076923076923,99,100
"34","B7ZAQ6",455,9,189,455,100,189,100,63,100,126,100,266,100,115,100,151,100
"35","Q6Z2T3",298,6,126,211,70.80536913,126,100,42,100,84,100,85,49.41860465,65,85.5263157894737,20,21.0526315789474
"36","P25360",923,13,273,292,31.63596966,171,62.63736264,58,63.7362637362637,113,62.0879120879121,121,18.61538462,77,53.1034482758621,44,9.09090909090909
"37","Q9LFX9",576,12,252,450,78.125,252,100,84,100,168,100,198,61.11111111,113,76.3513513513513,85,48.5714285714286
"38","Q05085",590,12,252,399,67.62711864,228,90.47619048,77,91.6666666666667,151,90.4761904761905,171,50.59171598,106,65.0306748466258,65,37.3563218390805
"39","O43511",780,12,252,570,73.07692308,249,98.80952381,84,100,165,98.8095238095238,321,60.79545455,126,84,195,51.9685039370079
"40","P46720",670,12,252,551,82.23880597,252,100,84,100,168,100,299,71.53110048,158,89.7727272727273,141,58.50622406639
"41","P41930",458,10,210,338,73.79912664,206,98.0952381,70,100,136,98.5714285714286,132,53.22580645,93,66.4285714285714,39,36.4485981308411
"42","Q9SMX3",274,0,0,268,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"43","O15438",1527,17,357,1288,84.34839555,309,86.55462185,100,84.0336134453782,209,88.2352941176471,979,83.67521368,181,76.3713080168776,798,85.4545454545454
"44","P31641",620,12,252,540,87.09677419,251,99.6031746,84,100,167,99.4047619047619,289,78.5326087,166,96.5116279069767,123,62.5641025641026
"45","Q9NQ90",1003,8,168,564,56.23130608,106,63.0952381,38,67.8571428571429,68,59.8214285714286,458,54.8502994,102,63.75,356,52.6706231454006
"46","P04919",929,11,231,821,88.37459634,231,100,77,100,154,100,590,84.52722063,160,95.8083832335329,430,81.015037593985
"47","P92942",780,12,252,533,68.33333333,220,87.3015873,77,91.6666666666667,143,85.7142857142857,313,59.28030303,108,73.972602739726,205,53.5433070866142
"48","Q9VVT2",590,15,315,412,69.83050847,281,89.20634921,96,91.4285714285714,185,89.047619047619,131,47.63636364,98,59.7560975609756,33,32.2033898305085
"49","Q9SM57",177,0,0,167,0,0,0,0,NA,0,NA,0,0,0,NA,0,NA
"50","P38264",188,2,42,152,80.85106383,42,100,14,100,28,100,110,75.34246575,37,90.2439024390244,73,70.1923076923077
"51","Q9LQL2",614,12,252,397,64.65798046,228,90.47619048,77,91.6666666666667,151,91.0714285714286,169,46.68508287,103,64.375,66,32.8358208955224
"52","Q9NSA0",550,12,252,462,84,250,99.20634921,84,100,166,98.8095238095238,212,71.1409396,103,95.3703703703704,109,57.1428571428571
"53","Q96RN1",970,12,252,701,72.26804124,242,96.03174603,80,95.2380952380952,162,96.4285714285714,459,63.9275766,113,81.8840579710145,346,60
"54","Q9QZX8",687,12,252,546,79.47598253,252,100,84,100,168,100,294,67.5862069,157,92.3529411764706,137,52.2556390977444
"55","P92946",677,10,210,557,82.27474151,209,99.52380952,70,100,139,99.2857142857143,348,74.51820128,104,83.8709677419355,244,71.3872832369942
"56","Q94920",282,12,102,279,98.93617021,102,100,36,100,66,100,177,98.33333333,107,99.0740740740741,70,97.2222222222222
"57","Q51955",448,12,252,321,71.65178571,190,75.3968254,64,76.1904761904762,126,75.5952380952381,131,66.83673469,78,74.2857142857143,53,58.2417582417582
"58","P48029",635,12,252,540,85.03937008,251,99.6031746,84,100,167,99.4047619047619,289,75.45691906,169,96.0227272727273,120,57.7669902912621
"59","Q6P9J9",911,8,168,716,78.5949506,135,80.35714286,44,78.5714285714286,91,81.25,581,78.19650067,121,88.9705882352941,460,75.4934210526316
"60","O76090",585,5,105,462,78.97435897,105,100,35,100,70,100,357,74.375,87,97.752808988764,270,68.974358974359
